"component","origin","license","copyright"
"@ampproject/remapping","@ampproject/remapping","['Apache-2.0']","[]"
"@aws-cdk/asset-awscli-v1","@aws-cdk/asset-awscli-v1","['Apache-2.0']","['- Paul Ganssle <paul@ganssle.io>', 'Amazon.com', 'Andrey Petrov and contributors', 'Benjamin Peterson', 'David Goodger', 'Dirk Jesse', 'Gustavo Niemeyer <gustavo@niemeyer.net>', 'Ilya Etingof <etingof@gmail.com>', 'Inc.', 'Inc. or its affiliates', 'Ingy', 'Jonathan Hartley', 'Kenneth Reitz - Requests GitHub (https://github.com/psf/requests)', 'Kirill Simonov', 'Maxim Biro']"
"@aws-cdk/asset-node-proxy-agent-v6","@aws-cdk/asset-node-proxy-agent-v6","['Apache-2.0']","['Amazon.com', 'Inc. or its affiliates']"
"@aws-cdk/aws-lambda-dotnet","@aws-cdk/aws-lambda-dotnet","['Apache-2.0']","[]"
"@aws-cdk/cloud-assembly-schema","@aws-cdk/cloud-assembly-schema","['Apache-2.0 AND ISC AND MIT']","['Amazon.com', 'Inc. or its affiliates', 'Isaac Z. Schlueter', 'Isaac Z. Schlueter and Contributors', 'Tom']"
"@babel/code-frame","@babel/code-frame","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/compat-data","@babel/compat-data","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/core","@babel/core","['MIT']","['Inc. and other Node contributors', 'Joyent', 'Node.js contributors', 'Sebastian McKenzie and other contributors', 'Titus Wormer']"
"@babel/generator","@babel/generator","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helper-compilation-targets","@babel/helper-compilation-targets","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helper-globals","@babel/helper-globals","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helper-module-imports","@babel/helper-module-imports","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helper-module-transforms","@babel/helper-module-transforms","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helper-plugin-utils","@babel/helper-plugin-utils","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helper-string-parser","@babel/helper-string-parser","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helper-validator-identifier","@babel/helper-validator-identifier","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helper-validator-option","@babel/helper-validator-option","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/helpers","@babel/helpers","['MIT']","['Facebook', 'Inc.', 'Sebastian McKenzie and other contributors']"
"@babel/parser","@babel/parser","['MIT']","['by various contributors']"
"@babel/plugin-syntax-async-generators","@babel/plugin-syntax-async-generators","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-bigint","@babel/plugin-syntax-bigint","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-class-properties","@babel/plugin-syntax-class-properties","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-class-static-block","@babel/plugin-syntax-class-static-block","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-import-attributes","@babel/plugin-syntax-import-attributes","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-import-meta","@babel/plugin-syntax-import-meta","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-json-strings","@babel/plugin-syntax-json-strings","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-jsx","@babel/plugin-syntax-jsx","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-logical-assignment-operators","@babel/plugin-syntax-logical-assignment-operators","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-nullish-coalescing-operator","@babel/plugin-syntax-nullish-coalescing-operator","['MIT']","['Sebastian McKenzie and other contributors']"
"@babel/plugin-syntax-numeric-separator","@babel/plugin-syntax-numeric-separator","['MIT']","['Sebastian McKenzie and other contributors']"
